productCode,productName,ingredientCode,ingredientName,quantity,unit
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,A00087,BOCA - VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ML,1,pcs
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,A00089,"ZATVARA? - VELNEA TONIK 250ML, VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ML",1,pcs
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,A00092,ETIKETA - VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ML,1,pcs
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,B00076,KUTIJA BROJ 5,0.166667,pcs
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S2,ALANTOIN,0.25,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S20,GLICEROL,1.25,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S23,JOJOBA ULJE,0.5,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S289,COVI-OX T,0.25,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S290,EDTA (DINATRIJUM-EDTA),0.25,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S291,DIMETIKON (SILIKONSKO ULJE 350),1.25,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S292,SABODERM AB (C12-15 ALKIL BENZOAT),7.5,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S296,"EUXYL P 9010 (BIOSCONTROL SYNERGY PHE, ISCAGUARD PEHG)",2.5,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S297,EUMULGIN BA 25,2.5,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S307,MIRIS LAGUNE ROSE,0.75,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S35,"PARAFIN, TE?NI",15,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S36,PROPILENGLIKOL,8.75,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S41,SABOWAX AE,13.75,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S428,"VODA, PRE?IŠ?ENA",20,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S428,"VODA, PRE?IŠ?ENA",150,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S428,"VODA, PRE?IŠ?ENA",1,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S428,"VODA, PRE?IŠ?ENA",1,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S428,"VODA, PRE?IŠ?ENA",2.5,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S428,"VODA, PRE?IŠ?ENA",2.5,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S428,"VODA, PRE?IŠ?ENA",1.23,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S53,VITAMIN E,1.25,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S59,SABODERM CSO,15,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S84,NATRIJUM-HIDROKSID,0.27,g
8606019176020,#VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ml,S98,CARBOPOL ULTREZ 10,0.75,g
8606019176037,VELNEA TONIK 250ml,A00086,BOCA - VELNEA TONIK 250ML,1,pcs
8606019176037,VELNEA TONIK 250ml,A00089,"ZATVARA? - VELNEA TONIK 250ML, VELNEA MLEKO ZA SKIDANJE ŠMINKE 250ML",1,pcs
8606019176037,VELNEA TONIK 250ml,A00093,ETIKETA - VELNEA TONIK 250ML,1,pcs
8606019176037,VELNEA TONIK 250ml,B00076,KUTIJA BROJ 5,0.166667,pcs
8606019176037,VELNEA TONIK 250ml,S1,UREA,1.25,g
8606019176037,VELNEA TONIK 250ml,S16,"DEKSPANTENOL, 100%",1.25,g
8606019176037,VELNEA TONIK 250ml,S2,ALANTOIN,0.25,g
8606019176037,VELNEA TONIK 250ml,S288,ALOE VERA GEL,2.5,g
8606019176037,VELNEA TONIK 250ml,S290,EDTA (DINATRIJUM-EDTA),0.25,g
8606019176037,VELNEA TONIK 250ml,S307,MIRIS LAGUNE ROSE,0.5,g
8606019176037,VELNEA TONIK 250ml,S308,KALIJUM-SORBAT,0.25,g
8606019176037,VELNEA TONIK 250ml,S317,DIGLICERIN,1.25,g
8606019176037,VELNEA TONIK 250ml,S34,NATRIJUM-BENZOAT,0.5,g
8606019176037,VELNEA TONIK 250ml,S36,PROPILENGLIKOL,10,g
8606019176037,VELNEA TONIK 250ml,S428,"VODA, PRE?IŠ?ENA",1.25,g
8606019176037,VELNEA TONIK 250ml,S428,"VODA, PRE?IŠ?ENA",10,g
8606019176037,VELNEA TONIK 250ml,S428,"VODA, PRE?IŠ?ENA",200,g
8606019176037,VELNEA TONIK 250ml,S428,"VODA, PRE?IŠ?ENA",10.375,g
8606019176037,VELNEA TONIK 250ml,S53,VITAMIN E,0.125,g
8606019176037,VELNEA TONIK 250ml,S76,"LIMUNSKA KISELINA, MONOHIDRAT",0.25,g
8606019176037,VELNEA TONIK 250ml,S80,SABOWAX ELH 40/L,10,g
8606019895594,#VELNEA RICH DAN 50ml,A00066,ETIKETA - BLANKO KRUŽNA PROVIDNA,1,pcs
